Sampling Method,Transformation Method,Scaling Method,Dim Reduction Method,Model Name,Accuracy Train,Accuracy Test,F1 Train,F-beta Train,F1 Test,F-beta Test,ROC AUC Train,ROC AUC Test
none,none,standard,none,logreg,0.9005102040816326,0.8673469387755102,0.6138613861386139,0.4972239358420728,0.4657534246575342,0.3680266444629475,0.871826625386997,0.8214316478594195
none,none,standard,none,rf,1.0,0.8401360544217688,1.0,1.0,0.1454545454545454,0.0879120879120879,1.0,0.7557498492548884
none,none,standard,none,svc,0.9285714285714286,0.8673469387755102,0.7181208053691275,0.5726636475916015,0.3809523809523809,0.2619647355163728,0.9606143909469412,0.8242742699629598
none,none,standard,none,knn_5,0.8690476190476191,0.8401360544217688,0.3888888888888889,0.2647547797173732,0.2295081967213114,0.1530698065601345,0.8990658695420092,0.6686622448100612
none,none,standard,none,xgboost,1.0,0.8741496598639455,1.0,1.0,0.4477611940298507,0.3263598326359833,1.0,0.7612197433026102
none,none,standard,none,gradboost,0.9591836734693876,0.8401360544217688,0.8554216867469879,0.7547015535568274,0.2769230769230769,0.1961441743503772,0.985710472936906,0.7915410457403739
none,none,standard,none,histgradboost,1.0,0.8639455782312925,1.0,1.0,0.375,0.261744966442953,1.0,0.7835300198122147
none,none,standard,none,ada,0.9056122448979592,0.8571428571428571,0.645367412140575,0.5388877488200288,0.3636363636363636,0.2613065326633166,0.9319686132166116,0.7502799552071668
none,none,standard,none,catboost,0.9897959183673468,0.8571428571428571,0.967391304347826,0.9391233766233766,0.2758620689655172,0.1753794266441821,0.9999359453400236,0.8069601171504867
none,none,standard,pca_95%,logreg,0.8988095238095238,0.8741496598639455,0.5993265993265994,0.476425777228742,0.5066666666666667,0.4106400665004156,0.8635635742500267,0.8374536997157378
none,none,standard,pca_95%,rf,1.0,0.8367346938775511,1.0,1.0,0.1111111111111111,0.065989847715736,1.0,0.8021362735808425
none,none,standard,pca_95%,svc,0.9268707482993196,0.8639455782312925,0.7094594594594594,0.5621911037891268,0.375,0.261744966442953,0.9551884274580976,0.8319407356361443
none,none,standard,pca_95%,knn_5,0.8690476190476191,0.8469387755102041,0.3636363636363636,0.2382340691378592,0.2105263157894736,0.1316455696202531,0.897005444646098,0.6674562839176501
none,none,standard,pca_95%,xgboost,1.0,0.8401360544217688,1.0,1.0,0.3188405797101449,0.2389306599832915,1.0,0.7440778706176243
none,none,standard,pca_95%,gradboost,0.9693877551020408,0.8401360544217688,0.8953488372093024,0.8164763458401305,0.2539682539682539,0.1746431570109152,0.997373758940963,0.7750882935653371
none,none,standard,pca_95%,histgradboost,1.0,0.8401360544217688,1.0,1.0,0.3188405797101449,0.2389306599832915,1.0,0.7891291239555518
