Sampling Method,Transformation Method,Scaling Method,Dim Reduction Method,Model Name,Accuracy Train,Accuracy Test,F1 Train,F-beta Train,F1 Test,F-beta Test,ROC AUC Train,ROC AUC Test
none,none,standard,none,logreg,0.7279609690444145,0.7188662306015134,0.6072382803011902,0.5778784570467388,0.600728597449909,0.5776143130439468,0.8110244625354446,0.8010236611940788
none,none,standard,none,rf,1.0,0.7932538155700911,1.0,1.0,0.716496658459374,0.7116444062239661,1.0,0.8783818743792519
none,none,standard,none,dt,1.0,0.7328459663973323,1.0,1.0,0.6398063288950372,0.6454729666259611,1.0,0.7146229446652178
none,none,standard,none,knn_5,0.8136944818304173,0.7136077978709761,0.7390300230946881,0.7232651960558202,0.6001790510295434,0.5863214972887878,0.8955058326555031,0.7745405047751603
none,none,standard,none,xgboost,0.8934387617765814,0.7659356162626652,0.8543841096142352,0.855509712606024,0.6840920893197161,0.6894904244896863,0.9604361860384674,0.8436658415505199
none,none,standard,none,gradboost,0.767092866756393,0.7493907913299988,0.6830586080586081,0.686598974707565,0.663799036476256,0.6727745881847937,0.8486956248996425,0.8288673674161133
none,none,standard,pca_21,logreg,0.7270188425302826,0.718737976144671,0.6036445356392593,0.5714570325702191,0.5982780729071259,0.5722488038277512,0.8104022321509242,0.8012579458599989
none,none,standard,pca_21,rf,1.0,0.7863280749006027,1.0,1.0,0.6938625505328924,0.6617595513494567,1.0,0.8734491558390817
none,none,standard,pca_21,dt,1.0,0.7184814672309863,1.0,1.0,0.625362689878819,0.6385414572022253,1.0,0.7019528157760924
none,none,standard,pca_21,knn_5,0.8134589502018843,0.7136077978709761,0.7383918459796149,0.7218531766308975,0.5997490589711418,0.585319249142165,0.8952594989505452,0.7714141139311467
none,none,standard,pca_21,xgboost,0.9158479138627187,0.7626010003847634,0.8839712363720715,0.8778435771216744,0.6753201192773197,0.6723806709029113,0.9722588782679246,0.8373783064573668
none,none,standard,pca_21,gradboost,0.7569986541049798,0.728998332692061,0.6538867056455477,0.630136207643828,0.6161671207992734,0.5939575167360353,0.8384962513768568,0.8083864284201597
none,none,minmax,none,logreg,0.7254037685060565,0.717711940489932,0.6017275877214386,0.5702099200660247,0.5965169569202566,0.570176975643946,0.8094321943162994,0.7996958829318455
none,none,minmax,none,rf,1.0,0.793895087854303,1.0,1.0,0.7169279549057599,0.7110316745729913,1.0,0.8785390786822755
none,none,minmax,none,dt,1.0,0.7323329485699628,1.0,1.0,0.6387398303617795,0.6437802799511495,1.0,0.7138513978371632
none,none,minmax,none,knn_5,0.810935397039031,0.7152751058099269,0.7369012501755865,0.7255801087338151,0.6042780748663102,0.592768945202163,0.8921497165792842,0.7745742672481646
none,none,minmax,none,xgboost,0.8934387617765814,0.7659356162626652,0.8543841096142352,0.855509712606024,0.6840920893197161,0.6894904244896863,0.9604361860384674,0.8436658415505199
none,none,minmax,none,gradboost,0.767092866756393,0.7493907913299988,0.6830586080586081,0.686598974707565,0.663799036476256,0.6727745881847937,0.8486956248996425,0.8289034656576901
none,none,minmax,pca_21,logreg,0.7253701211305518,0.7170706682057202,0.601425920500049,0.5695888208215045,0.5950807635829662,0.5681278981990725,0.8091248337942033,0.7995829874508356
none,none,minmax,pca_21,rf,1.0,0.7797870976016417,1.0,1.0,0.6934475986430995,0.6792310693194507,1.0,0.8726009533333258
none,none,minmax,pca_21,dt,1.0,0.7393869436962934,1.0,1.0,0.6481994459833796,0.6532102211724286,1.0,0.7214031145845956
none,none,minmax,pca_21,knn_5,0.8109017496635262,0.7160446325509812,0.7367434888514146,0.7251422167368884,0.6057692307692308,0.5948192382182053,0.8920077885823253,0.7750180986673945
none,none,minmax,pca_21,xgboost,0.9164199192462988,0.7682441964858279,0.8847545699174167,0.8785838324414361,0.6790978511809626,0.6684685411540064,0.9725300128143622,0.8416851451913744
none,none,minmax,pca_21,gradboost,0.7656123822341857,0.7395151981531358,0.6743338008415147,0.6649220229356825,0.6382902938557435,0.6266492716977581,0.8441526107122478,0.8155575210615544
none,none,robust,none,logreg,0.7278600269179004,0.7188662306015134,0.6069588881329575,0.5774305283896528,0.6008739985433358,0.5779490219324245,0.8110462630585684,0.8011299740545658
none,none,robust,none,rf,1.0,0.7947928690521996,1.0,1.0,0.7178130511463844,0.7110985673198399,1.0,0.8785399988335314
none,none,robust,none,dt,1.0,0.7324612030268052,1.0,1.0,0.638975424022153,0.644120567946963,1.0,0.7140259788427498
none,none,robust,none,knn_5,0.8157133243606999,0.7183532127741439,0.7415412203293851,0.7249003750793983,0.6053199137311287,0.5892866756393002,0.8992493218120914,0.775934604708683
none,none,robust,none,xgboost,0.8934387617765814,0.7659356162626652,0.8543841096142352,0.855509712606024,0.6840920893197161,0.6894904244896863,0.9604361860384674,0.8436658415505199
none,none,robust,none,gradboost,0.767092866756393,0.7493907913299988,0.6830586080586081,0.686598974707565,0.663799036476256,0.6727745881847937,0.8486956248996425,0.8288622711937731
none,none,robust,pca_21,logreg,0.7270524899057873,0.7214313197383609,0.604254073568153,0.5727854180154671,0.6004415011037527,0.5720757159035754,0.810375861574129,0.8019142260480381
none,none,robust,pca_21,rf,1.0,0.7835064768500706,1.0,1.0,0.6906158357771262,0.6602329092085399,1.0,0.8732990650130746
none,none,robust,pca_21,dt,1.0,0.7295113505194305,1.0,1.0,0.6311002273919889,0.6299813305038077,1.0,0.708619382405802
none,none,robust,pca_21,knn_5,0.8156796769851952,0.7186097216878287,0.7414086102719033,0.7245493257629525,0.6051115910727142,0.5883002207505518,0.89930017342426,0.7761428420159749
none,none,robust,pca_21,xgboost,0.9170592193808883,0.7619597281005515,0.8856944122420589,0.8799316750596248,0.6727785613540198,0.6667025051069777,0.9728800955262304,0.839018971537032
none,none,robust,pca_21,gradboost,0.7606325706594885,0.7311786584583815,0.6584733557369179,0.6335424912771899,0.6207021353601158,0.600441679459212,0.8408223989306387,0.8120941425152916
none,log,standard,none,logreg,0.740578734858681,0.7325894574836476,0.6297541298501729,0.6057490051165435,0.6242566228149217,0.606205828902201,0.8218562709429361,0.8135128034092595
none,log,standard,none,rf,1.0,0.7944081056816724,1.0,1.0,0.7173338035619821,0.7107395809534048,1.0,0.8786608217715148
